time,R1I:VA:BAG1:Ai:Pr,
2019-1-5 9:17,1.20E-07,12
2019-1-5 9:18,1.30E-07,13
2019-1-5 9:18,1.20E-07,12
2019-1-5 9:18,1.30E-07,13
2019-1-5 9:18,1.40E-07,14
2019-1-5 9:19,1.50E-07,15
2019-1-5 9:20,1.60E-07,16
2019-1-5 9:21,1.50E-07,15
2019-1-5 9:21,1.60E-07,16
2019-1-5 9:22,1.50E-07,15
2019-1-5 9:22,1.60E-07,16
2019-1-5 9:23,1.50E-07,15
2019-1-5 9:30,1.40E-07,14
2019-1-5 9:30,1.50E-07,15
2019-1-5 9:31,1.40E-07,14
2019-1-5 9:37,1.30E-07,13
2019-1-5 9:37,1.40E-07,14
2019-1-5 9:37,1.30E-07,13
2019-1-5 9:44,1.20E-07,12
2019-1-5 9:45,1.30E-07,13
2019-1-5 9:45,1.20E-07,12
2019-1-5 9:45,1.30E-07,13
2019-1-5 9:45,1.20E-07,12
2019-1-5 9:51,1.10E-07,11
2019-1-5 9:51,1.20E-07,12
2019-1-5 9:52,1.10E-07,11
2019-1-5 9:52,1.20E-07,12
2019-1-5 9:53,1.10E-07,11
2019-1-5 10:01,1.00E-07,10
2019-1-5 10:10,9.90E-08,9.9
2019-1-5 10:11,9.80E-08,9.8
2019-1-5 10:11,9.90E-08,9.9
2019-1-5 10:11,9.80E-08,9.8
2019-1-5 10:11,1.00E-07,10
2019-1-5 10:12,1.10E-07,11
2019-1-5 10:13,1.20E-07,12
2019-1-5 10:13,1.30E-07,13
2019-1-5 10:14,1.40E-07,14
2019-1-5 10:15,1.50E-07,15
2019-1-5 10:20,1.40E-07,14
2019-1-5 10:21,1.50E-07,15
2019-1-5 10:21,1.40E-07,14
2019-1-5 10:22,1.50E-07,15
2019-1-5 10:22,1.40E-07,14
2019-1-5 10:22,1.50E-07,15
2019-1-5 10:22,1.40E-07,14
2019-1-5 10:29,1.30E-07,13
2019-1-5 10:36,1.20E-07,12
2019-1-5 10:43,1.10E-07,11
2019-1-5 10:44,1.20E-07,12
2019-1-5 10:44,1.10E-07,11
2019-1-5 10:44,1.20E-07,12
2019-1-5 10:44,1.10E-07,11
2019-1-5 10:52,1.00E-07,10
2019-1-5 10:52,1.10E-07,11
2019-1-5 10:52,1.00E-07,10
2019-1-5 10:53,1.10E-07,11
2019-1-5 10:53,1.00E-07,10
2019-1-5 11:01,9.90E-08,9.9
2019-1-5 11:01,1.00E-07,10
2019-1-5 11:02,9.90E-08,9.9
2019-1-5 11:02,1.00E-07,10
2019-1-5 11:02,9.90E-08,9.9
2019-1-5 11:03,9.80E-08,9.8
2019-1-5 11:03,9.70E-08,9.7
2019-1-5 11:03,9.90E-08,9.9
2019-1-5 11:03,9.70E-08,9.7
2019-1-5 11:04,9.60E-08,9.6
2019-1-5 11:04,9.70E-08,9.7
2019-1-5 11:04,9.60E-08,9.6
2019-1-5 11:05,9.80E-08,9.8
2019-1-5 11:05,9.70E-08,9.7
2019-1-5 11:05,9.60E-08,9.6
2019-1-5 11:05,9.80E-08,9.8
2019-1-5 11:05,9.70E-08,9.7
2019-1-5 11:06,9.50E-08,9.5
2019-1-5 11:06,9.70E-08,9.7
2019-1-5 11:06,9.80E-08,9.8
2019-1-5 11:07,1.00E-07,10
2019-1-5 11:07,1.10E-07,11
2019-1-5 11:08,1.20E-07,12
2019-1-5 11:08,1.30E-07,13
2019-1-5 11:09,1.40E-07,14
2019-1-5 11:10,1.50E-07,15
2019-1-5 11:14,1.40E-07,14
2019-1-5 11:14,1.50E-07,15
2019-1-5 11:14,1.40E-07,14
2019-1-5 11:14,1.50E-07,15
2019-1-5 11:15,1.40E-07,14
2019-1-5 11:15,1.50E-07,15
2019-1-5 11:15,1.40E-07,14
2019-1-5 11:15,1.50E-07,15
2019-1-5 11:15,1.40E-07,14
2019-1-5 11:23,1.30E-07,13
2019-1-5 11:23,1.40E-07,14
2019-1-5 11:24,1.30E-07,13
2019-1-5 11:31,1.20E-07,12
2019-1-5 11:31,1.30E-07,13
2019-1-5 11:31,1.20E-07,12
2019-1-5 11:31,1.30E-07,13
2019-1-5 11:31,1.20E-07,12
2019-1-5 11:37,1.10E-07,11
2019-1-5 11:37,1.20E-07,12
2019-1-5 11:39,1.10E-07,11
2019-1-5 11:40,1.20E-07,12
2019-1-5 11:40,1.10E-07,11
2019-1-5 11:46,1.00E-07,10
2019-1-5 11:47,1.10E-07,11
2019-1-5 11:47,1.00E-07,10
2019-1-5 11:47,1.10E-07,11
2019-1-5 11:47,1.00E-07,10
2019-1-5 11:56,9.90E-08,9.9
2019-1-5 11:57,1.00E-07,10
2019-1-5 11:57,9.80E-08,9.8
2019-1-5 11:57,9.90E-08,9.9
2019-1-5 11:58,9.80E-08,9.8
2019-1-5 11:58,1.00E-07,10
2019-1-5 11:58,9.70E-08,9.7
2019-1-5 11:58,9.80E-08,9.8
2019-1-5 11:59,9.70E-08,9.7
2019-1-5 11:59,9.80E-08,9.8
2019-1-5 11:59,9.70E-08,9.7
2019-1-5 11:59,9.60E-08,9.6
2019-1-5 12:00,9.50E-08,9.5
2019-1-5 12:00,9.60E-08,9.6
2019-1-5 12:00,9.70E-08,9.7
2019-1-5 12:00,9.60E-08,9.6
2019-1-5 12:01,9.50E-08,9.5
2019-1-5 12:01,9.40E-08,9.4
2019-1-5 12:01,9.50E-08,9.5
2019-1-5 12:01,9.70E-08,9.7
2019-1-5 12:01,9.90E-08,9.9
2019-1-5 12:02,1.00E-07,10
2019-1-5 12:02,1.10E-07,11
2019-1-5 12:03,1.20E-07,12
2019-1-5 12:03,1.30E-07,13
2019-1-5 12:04,1.40E-07,14
2019-1-5 12:04,1.50E-07,15
2019-1-5 12:06,1.40E-07,14
2019-1-5 12:15,1.30E-07,13
2019-1-5 12:15,1.40E-07,14
2019-1-5 12:16,1.30E-07,13
2019-1-5 12:24,1.20E-07,12
2019-1-5 12:32,1.10E-07,11
2019-1-5 12:32,1.20E-07,12
2019-1-5 12:32,1.10E-07,11
2019-1-5 12:32,1.20E-07,12
2019-1-5 12:32,1.10E-07,11
2019-1-5 12:33,1.20E-07,12
2019-1-5 12:33,1.10E-07,11
2019-1-5 12:40,1.00E-07,10
2019-1-5 12:40,1.10E-07,11
2019-1-5 12:40,1.00E-07,10
2019-1-5 12:41,1.10E-07,11
2019-1-5 12:41,1.00E-07,10
2019-1-5 12:48,9.90E-08,9.9
2019-1-5 12:48,1.00E-07,10
2019-1-5 12:49,9.90E-08,9.9
2019-1-5 12:49,1.00E-07,10
2019-1-5 12:49,9.90E-08,9.9
2019-1-5 12:50,9.80E-08,9.8
2019-1-5 12:50,9.90E-08,9.9
2019-1-5 12:51,9.80E-08,9.8
2019-1-5 12:51,9.60E-08,9.6
2019-1-5 12:51,9.50E-08,9.5
2019-1-5 12:52,9.60E-08,9.6
2019-1-5 12:52,9.80E-08,9.8
2019-1-5 12:52,9.60E-08,9.6
2019-1-5 12:53,9.40E-08,9.4
2019-1-5 12:53,9.60E-08,9.6
2019-1-5 12:53,9.40E-08,9.4
2019-1-5 12:53,9.50E-08,9.5
2019-1-5 12:53,9.40E-08,9.4
2019-1-5 12:53,9.50E-08,9.5
2019-1-5 12:54,9.40E-08,9.4
2019-1-5 12:54,9.60E-08,9.6
2019-1-5 12:54,9.50E-08,9.5
2019-1-5 12:54,9.40E-08,9.4
2019-1-5 12:55,9.30E-08,9.3
2019-1-5 12:55,9.60E-08,9.6
2019-1-5 12:55,9.90E-08,9.9
2019-1-5 12:55,1.00E-07,10
2019-1-5 12:56,1.10E-07,11
2019-1-5 12:56,1.20E-07,12
2019-1-5 12:57,1.30E-07,13
2019-1-5 12:57,1.40E-07,14
2019-1-5 12:58,1.50E-07,15
2019-1-5 12:59,1.40E-07,14
2019-1-5 12:59,1.50E-07,15
2019-1-5 12:59,1.40E-07,14
2019-1-5 13:04,1.30E-07,13
2019-1-5 13:04,1.40E-07,14
2019-1-5 13:05,1.30E-07,13
2019-1-5 13:14,1.20E-07,12
2019-1-5 13:21,1.10E-07,11
2019-1-5 13:21,1.20E-07,12
2019-1-5 13:21,1.10E-07,11
2019-1-5 13:29,1.00E-07,10
2019-1-5 13:39,9.90E-08,9.9
2019-1-5 13:39,1.00E-07,10
2019-1-5 13:39,9.80E-08,9.8
2019-1-5 13:39,9.90E-08,9.9
2019-1-5 13:40,1.00E-07,10
2019-1-5 13:40,9.80E-08,9.8
2019-1-5 13:40,9.90E-08,9.9
2019-1-5 13:40,9.80E-08,9.8
2019-1-5 13:41,9.90E-08,9.9
2019-1-5 13:41,9.80E-08,9.8
2019-1-5 13:41,9.60E-08,9.6
2019-1-5 13:42,9.70E-08,9.7
2019-1-5 13:42,9.60E-08,9.6
2019-1-5 13:42,9.80E-08,9.8
2019-1-5 13:42,9.60E-08,9.6
2019-1-5 13:43,9.50E-08,9.5
2019-1-5 13:43,9.60E-08,9.6
2019-1-5 13:43,9.50E-08,9.5
2019-1-5 13:44,9.60E-08,9.6
2019-1-5 13:44,9.50E-08,9.5
2019-1-5 13:44,9.40E-08,9.4
2019-1-5 13:45,9.30E-08,9.3
2019-1-5 13:45,9.40E-08,9.4
2019-1-5 13:45,9.20E-08,9.2
2019-1-5 13:46,9.30E-08,9.3
2019-1-5 13:46,9.20E-08,9.2
2019-1-5 13:46,9.10E-08,9.1
2019-1-5 13:46,9.20E-08,9.2
2019-1-5 13:47,9.10E-08,9.1
2019-1-5 13:47,9.30E-08,9.3
2019-1-5 13:47,9.20E-08,9.2
2019-1-5 13:47,9.10E-08,9.1
2019-1-5 13:48,9.00E-08,9
2019-1-5 13:48,8.90E-08,8.9
